subscription_id,customer_id,plan_name,start_date,end_date,monthly_price,billing_cycle,subscription_status,cancel_date
SUB0053,CUST0053,Pro,2024-05-09,,49.99,monthly,active,
SUB0054,CUST0054,Basic,2024-07-30,2025-02-28,19.99,monthly,cancelled,2025-02-28
SUB0055,CUST0055,Basic,2024-11-18,,19.99,monthly,active,
SUB0056,CUST0056,Pro,2025-03-13,,49.99,monthly,active,
SUB0057,CUST0057,Basic,2025-04-19,,19.99,monthly,active,
SUB0058,CUST0058,Premium,2025-06-05,,89.99,monthly,active,
SUB0059,CUST0059,Basic,2024-01-13,,19.99,monthly,active,
SUB0060,CUST0060,Premium,2024-07-05,,89.99,monthly,active,
SUB0061,CUST0061,Basic,2024-11-30,,19.99,monthly,active,
SUB0062,CUST0062,Pro,2024-01-25,,49.99,monthly,active,
SUB0063,CUST0063,Pro,2024-02-07,2024-05-07,49.99,monthly,cancelled,2024-05-07
SUB0064,CUST0064,Basic,2025-05-08,,19.99,monthly,active,
SUB0065,CUST0065,Pro,2025-06-26,,49.99,monthly,active,
SUB0066,CUST0066,Pro,2025-02-05,,49.99,monthly,active,
SUB0067,CUST0067,Basic,2024-04-17,,19.99,monthly,active,
SUB0068,CUST0068,Basic,2024-09-23,,19.99,monthly,active,
SUB0069,CUST0069,Pro,2024-12-12,,49.99,monthly,active,
SUB0070,CUST0070,Basic,2024-09-12,,19.99,monthly,active,
SUB0071,CUST0071,Pro,2025-06-23,,49.99,monthly,active,
SUB0072,CUST0072,Basic,2024-11-16,2025-03-16,19.99,monthly,cancelled,2025-03-16
SUB0073,CUST0073,Basic,2024-05-24,,19.99,monthly,active,
SUB0074,CUST0074,Basic,2025-05-09,2025-12-09,19.99,monthly,cancelled,2025-12-09
SUB0075,CUST0075,Pro,2025-06-02,,49.99,monthly,active,
SUB0076,CUST0076,Basic,2024-11-26,,19.99,monthly,active,
SUB0077,CUST0077,Basic,2024-03-03,,19.99,monthly,active,
SUB0078,CUST0078,Basic,2024-06-21,2024-11-21,19.99,monthly,cancelled,2024-11-21
SUB0079,CUST0079,Basic,2025-04-12,,19.99,monthly,active,
SUB0080,CUST0080,Basic,2024-06-02,,19.99,monthly,active,
SUB0081,CUST0081,Pro,2024-07-20,,49.99,monthly,active,
SUB0082,CUST0082,Premium,2024-12-19,,89.99,monthly,active,
SUB0083,CUST0083,Basic,2024-03-12,2025-01-12,19.99,monthly,cancelled,2025-01-12
SUB0084,CUST0084,Basic,2024-05-03,,19.99,monthly,active,
SUB0085,CUST0085,Basic,2025-02-16,,19.99,monthly,active,
SUB0086,CUST0086,Basic,2024-08-18,,19.99,monthly,active,
SUB0087,CUST0087,Basic,2024-10-05,,19.99,monthly,active,
SUB0088,CUST0088,Basic,2025-01-05,,19.99,monthly,active,
SUB0089,CUST0089,Basic,2025-02-19,2025-10-19,19.99,monthly,cancelled,2025-10-19
SUB0090,CUST0090,Basic,2025-03-30,,19.99,monthly,active,
SUB0091,CUST0091,Basic,2025-04-20,,19.99,monthly,active,
SUB0092,CUST0092,Basic,2024-09-11,2024-12-11,19.99,monthly,cancelled,2024-12-11
SUB0093,CUST0093,Basic,2024-02-29,,19.99,monthly,active,
SUB0094,CUST0094,Pro,2024-02-10,,49.99,monthly,active,
SUB0095,CUST0095,Premium,2024-11-26,,89.99,monthly,active,
SUB0096,CUST0096,Basic,2025-02-14,,19.99,monthly,active,
SUB0097,CUST0097,Basic,2024-06-01,,19.99,monthly,active,
SUB0098,CUST0098,Pro,2024-08-26,,49.99,monthly,active,
SUB0099,CUST0099,Pro,2025-04-01,,49.99,monthly,active,
SUB0100,CUST0100,Basic,2025-04-16,,19.99,monthly,active,
SUB0101,CUST0101,Basic,2024-07-09,,19.99,monthly,active,
SUB0102,CUST0102,Basic,2025-05-15,2025-12-15,19.99,monthly,cancelled,2025-12-15
SUB0103,CUST0103,Basic,2024-11-03,2025-06-03,19.99,monthly,cancelled,2025-06-03
SUB0104,CUST0104,Basic,2024-06-07,,19.99,monthly,active,
SUB0105,CUST0105,Basic,2024-12-28,,19.99,monthly,active,
SUB0106,CUST0106,Pro,2024-10-24,2025-01-24,49.99,monthly,cancelled,2025-01-24
SUB0107,CUST0107,Pro,2025-03-24,2025-06-24,49.99,monthly,cancelled,2025-06-24
SUB0108,CUST0108,Basic,2024-12-03,,19.99,monthly,active,
SUB0109,CUST0109,Basic,2024-06-07,,19.99,monthly,active,
SUB0110,CUST0110,Basic,2024-03-03,,19.99,monthly,active,
SUB0111,CUST0111,Pro,2024-01-23,,49.99,monthly,active,
SUB0112,CUST0112,Premium,2024-04-07,2025-01-07,89.99,monthly,cancelled,2025-01-07
SUB0113,CUST0113,Basic,2024-03-14,,19.99,monthly,active,
SUB0114,CUST0114,Basic,2024-06-11,,19.99,monthly,active,
SUB0115,CUST0115,Basic,2024-06-01,2025-03-01,19.99,monthly,cancelled,2025-03-01
SUB0116,CUST0116,Pro,2024-02-12,,49.99,monthly,active,
SUB0117,CUST0117,Basic,2024-06-28,,19.99,monthly,active,
SUB0118,CUST0118,Pro,2024-07-26,,49.99,monthly,active,
SUB0119,CUST0119,Pro,2025-05-11,2025-11-11,49.99,monthly,cancelled,2025-11-11
SUB0120,CUST0120,Pro,2025-01-08,2025-11-08,49.99,monthly,cancelled,2025-11-08
