payment_id,invoice_id,customer_id,payment_date,amount_paid,payment_method,payment_status
PAY00052,INV00052,CUST0006,2024-05-17,19.99,bank_transfer,paid
PAY00053,INV00053,CUST0006,2024-06-17,19.99,paypal,paid
PAY00054,INV00054,CUST0006,2024-07-12,19.99,bank_transfer,paid
PAY00055,INV00055,CUST0006,2024-08-14,19.99,card,paid
PAY00056,INV00056,CUST0006,2024-09-16,19.99,card,paid
PAY00057,INV00057,CUST0006,2024-10-12,19.99,bank_transfer,paid
PAY00058,INV00058,CUST0006,2024-11-16,19.99,card,paid
PAY00059,INV00059,CUST0006,2024-12-12,19.99,paypal,paid
PAY00060,INV00060,CUST0007,2024-11-29,49.99,paypal,paid
PAY00061,INV00061,CUST0007,2024-12-25,0.0,card,failed
PAY00062,INV00062,CUST0007,2025-01-28,49.99,card,paid
PAY00063,INV00063,CUST0007,2025-02-26,49.99,card,paid
PAY00064,INV00064,CUST0007,2025-03-25,49.99,paypal,paid
PAY00065,INV00065,CUST0007,2025-04-28,49.99,bank_transfer,paid
PAY00066,INV00066,CUST0007,2025-05-31,0.0,bank_transfer,failed
PAY00067,INV00067,CUST0007,2025-06-29,49.99,bank_transfer,paid
PAY00068,INV00068,CUST0007,2025-07-25,49.99,paypal,paid
PAY00069,INV00069,CUST0008,2024-06-15,49.99,card,paid
PAY00070,INV00070,CUST0008,2024-07-15,49.99,card,paid
PAY00071,INV00071,CUST0008,2024-08-17,49.99,bank_transfer,paid
PAY00072,INV00072,CUST0008,2024-09-13,49.99,bank_transfer,paid
PAY00073,INV00073,CUST0008,2024-10-15,49.99,bank_transfer,paid
PAY00074,INV00074,CUST0008,2024-11-13,49.99,paypal,paid
PAY00075,INV00075,CUST0008,2024-12-20,0.0,card,failed
PAY00076,INV00076,CUST0009,2024-09-19,49.99,card,paid
PAY00077,INV00077,CUST0009,2024-10-21,49.99,card,paid
PAY00078,INV00078,CUST0009,2024-11-25,0.0,paypal,failed
PAY00079,INV00079,CUST0009,2024-12-23,49.99,card,paid
PAY00080,INV00080,CUST0009,2025-01-18,49.99,paypal,paid
PAY00081,INV00081,CUST0009,2025-02-19,49.99,card,paid
PAY00082,INV00082,CUST0009,2025-03-20,49.99,card,paid
PAY00083,INV00083,CUST0009,2025-04-21,49.99,paypal,paid
PAY00084,INV00084,CUST0009,2025-05-20,49.99,paypal,paid
PAY00085,INV00085,CUST0009,2025-06-22,49.99,paypal,paid
PAY00086,INV00086,CUST0009,2025-07-20,49.99,card,paid
PAY00087,INV00087,CUST0009,2025-08-19,0.0,card,failed
PAY00088,INV00088,CUST0009,2025-09-20,49.99,bank_transfer,paid
PAY00089,INV00089,CUST0009,2025-10-22,49.99,card,paid
PAY00090,INV00090,CUST0009,2025-11-20,49.99,card,paid
PAY00091,INV00091,CUST0009,2025-12-22,49.99,bank_transfer,paid
PAY00092,INV00092,CUST0010,2025-03-29,49.99,bank_transfer,paid
PAY00093,INV00093,CUST0010,2025-04-30,49.99,bank_transfer,paid
PAY00094,INV00094,CUST0010,2025-05-30,49.99,bank_transfer,paid
PAY00095,INV00095,CUST0010,2025-06-28,49.99,bank_transfer,paid
PAY00096,INV00096,CUST0010,2025-07-27,49.99,paypal,paid
PAY00097,INV00097,CUST0010,2025-08-31,49.99,bank_transfer,paid
PAY00098,INV00098,CUST0010,2025-09-30,49.99,bank_transfer,paid
PAY00099,INV00099,CUST0010,2025-11-01,49.99,card,paid
PAY00100,INV00100,CUST0010,2025-12-02,49.99,bank_transfer,paid
PAY00101,INV00101,CUST0010,2025-12-28,49.99,bank_transfer,paid
PAY00102,INV00102,CUST0011,2024-02-07,89.99,bank_transfer,paid
PAY00103,INV00103,CUST0011,2024-03-07,89.99,paypal,paid
PAY00104,INV00104,CUST0011,2024-04-09,89.99,card,paid
PAY00105,INV00105,CUST0011,2024-05-04,89.99,paypal,paid
PAY00106,INV00106,CUST0011,2024-06-09,89.99,bank_transfer,paid
PAY00107,INV00107,CUST0011,2024-07-04,89.99,paypal,paid
PAY00108,INV00108,CUST0011,2024-08-08,89.99,bank_transfer,paid
PAY00109,INV00109,CUST0011,2024-09-08,0.0,bank_transfer,failed
PAY00110,INV00110,CUST0011,2024-10-08,89.99,paypal,paid
PAY00111,INV00111,CUST0011,2024-11-05,89.99,bank_transfer,paid
PAY00112,INV00112,CUST0011,2024-12-05,89.99,bank_transfer,paid
PAY00113,INV00113,CUST0011,2025-01-07,89.99,bank_transfer,paid
PAY00114,INV00114,CUST0011,2025-02-09,89.99,paypal,paid
PAY00115,INV00115,CUST0011,2025-03-08,89.99,card,paid
PAY00116,INV00116,CUST0011,2025-04-09,89.99,card,paid
PAY00117,INV00117,CUST0011,2025-05-07,89.99,paypal,paid
PAY00118,INV00118,CUST0011,2025-06-05,89.99,paypal,paid
PAY00119,INV00119,CUST0011,2025-07-09,89.99,card,paid
PAY00120,INV00120,CUST0011,2025-08-07,89.99,paypal,paid
PAY00121,INV00121,CUST0011,2025-09-07,89.99,bank_transfer,paid
PAY00122,INV00122,CUST0011,2025-10-08,89.99,card,paid
PAY00123,INV00123,CUST0011,2025-11-07,89.99,card,paid
PAY00124,INV00124,CUST0011,2025-12-07,89.99,bank_transfer,paid
PAY00125,INV00125,CUST0012,2025-07-13,49.99,card,paid
PAY00126,INV00126,CUST0012,2025-08-12,49.99,paypal,paid
PAY00127,INV00127,CUST0012,2025-09-14,0.0,paypal,failed
PAY00128,INV00128,CUST0012,2025-10-13,49.99,card,paid
PAY00129,INV00129,CUST0012,2025-11-12,49.99,card,paid
PAY00130,INV00130,CUST0012,2025-12-15,49.99,card,paid
PAY00131,INV00131,CUST0013,2024-01-29,19.99,paypal,paid
PAY00132,INV00132,CUST0013,2024-02-29,19.99,bank_transfer,paid
PAY00133,INV00133,CUST0013,2024-03-28,19.99,card,paid
PAY00134,INV00134,CUST0013,2024-04-28,19.99,paypal,paid
PAY00135,INV00135,CUST0013,2024-05-31,19.99,paypal,paid
PAY00136,INV00136,CUST0013,2024-07-02,19.99,bank_transfer,paid
PAY00137,INV00137,CUST0013,2024-08-02,19.99,paypal,paid
PAY00138,INV00138,CUST0013,2024-08-28,19.99,bank_transfer,paid
PAY00139,INV00139,CUST0013,2024-10-01,19.99,bank_transfer,paid
PAY00140,INV00140,CUST0013,2024-10-30,19.99,card,paid
PAY00141,INV00141,CUST0013,2024-11-28,19.99,paypal,paid
PAY00142,INV00142,CUST0013,2024-12-31,19.99,bank_transfer,paid
PAY00143,INV00143,CUST0013,2025-02-01,19.99,bank_transfer,paid
PAY00144,INV00144,CUST0013,2025-03-04,19.99,paypal,paid
PAY00145,INV00145,CUST0013,2025-04-01,19.99,paypal,paid
PAY00146,INV00146,CUST0013,2025-04-28,19.99,paypal,paid
PAY00147,INV00147,CUST0013,2025-05-31,19.99,bank_transfer,paid
PAY00148,INV00148,CUST0013,2025-06-28,19.99,paypal,paid
PAY00149,INV00149,CUST0013,2025-07-29,19.99,paypal,paid
PAY00150,INV00150,CUST0013,2025-09-01,19.99,bank_transfer,paid
PAY00151,INV00151,CUST0013,2025-10-02,19.99,card,paid
PAY00152,INV00152,CUST0013,2025-10-31,19.99,bank_transfer,paid
PAY00153,INV00153,CUST0013,2025-12-03,19.99,bank_transfer,paid
PAY00154,INV00154,CUST0013,2025-12-28,19.99,paypal,paid
PAY00155,INV00155,CUST0014,2025-01-20,49.99,bank_transfer,paid
PAY00156,INV00156,CUST0014,2025-02-19,49.99,card,paid
PAY00157,INV00157,CUST0014,2025-03-23,49.99,bank_transfer,paid
PAY00158,INV00158,CUST0014,2025-04-19,49.99,card,paid
PAY00159,INV00159,CUST0014,2025-05-22,49.99,bank_transfer,paid
PAY00160,INV00160,CUST0014,2025-06-25,0.0,card,failed
PAY00161,INV00161,CUST0014,2025-07-20,49.99,card,paid
PAY00162,INV00162,CUST0014,2025-08-19,49.99,paypal,paid
PAY00163,INV00163,CUST0014,2025-09-19,49.99,bank_transfer,paid
PAY00164,INV00164,CUST0014,2025-10-18,49.99,bank_transfer,paid
PAY00165,INV00165,CUST0014,2025-11-20,49.99,card,paid
PAY00166,INV00166,CUST0014,2025-12-21,49.99,card,paid
PAY00167,INV00167,CUST0015,2024-03-26,19.99,card,paid
PAY00168,INV00168,CUST0015,2024-04-29,19.99,bank_transfer,paid
PAY00169,INV00169,CUST0015,2024-05-28,19.99,paypal,paid
PAY00170,INV00170,CUST0015,2024-06-28,19.99,paypal,paid
PAY00171,INV00171,CUST0015,2024-07-30,19.99,card,paid
PAY00172,INV00172,CUST0015,2024-08-26,19.99,paypal,paid
PAY00173,INV00173,CUST0015,2024-09-26,19.99,bank_transfer,paid
PAY00174,INV00174,CUST0015,2024-10-28,19.99,bank_transfer,paid
PAY00175,INV00175,CUST0015,2024-11-26,19.99,paypal,paid
PAY00176,INV00176,CUST0015,2024-12-28,19.99,card,paid
PAY00177,INV00177,CUST0015,2025-02-01,0.0,bank_transfer,failed
PAY00178,INV00178,CUST0015,2025-02-26,19.99,paypal,paid
PAY00179,INV00179,CUST0015,2025-03-26,19.99,paypal,paid
PAY00180,INV00180,CUST0015,2025-04-26,19.99,paypal,paid
PAY00181,INV00181,CUST0015,2025-05-27,19.99,paypal,paid
PAY00182,INV00182,CUST0015,2025-06-30,19.99,paypal,paid
PAY00183,INV00183,CUST0015,2025-07-28,19.99,paypal,paid
PAY00184,INV00184,CUST0015,2025-08-28,19.99,bank_transfer,paid
PAY00185,INV00185,CUST0015,2025-09-25,19.99,card,paid
PAY00186,INV00186,CUST0015,2025-10-29,19.99,bank_transfer,paid
PAY00187,INV00187,CUST0015,2025-12-01,0.0,paypal,failed
PAY00188,INV00188,CUST0015,2025-12-26,19.99,paypal,paid
PAY00189,INV00189,CUST0016,2024-07-14,49.99,paypal,paid
PAY00190,INV00190,CUST0016,2024-08-12,49.99,paypal,paid
PAY00191,INV00191,CUST0016,2024-09-16,49.99,paypal,paid
PAY00192,INV00192,CUST0016,2024-10-14,49.99,card,paid
PAY00193,INV00193,CUST0016,2024-11-14,49.99,bank_transfer,paid
PAY00194,INV00194,CUST0016,2024-12-15,49.99,paypal,paid
PAY00195,INV00195,CUST0016,2025-01-13,49.99,bank_transfer,paid
PAY00196,INV00196,CUST0016,2025-02-11,49.99,card,paid
PAY00197,INV00197,CUST0016,2025-03-13,49.99,paypal,paid
PAY00198,INV00198,CUST0016,2025-04-11,49.99,bank_transfer,paid
PAY00199,INV00199,CUST0016,2025-05-12,49.99,paypal,paid
PAY00200,INV00200,CUST0016,2025-06-11,49.99,card,paid
PAY00201,INV00201,CUST0016,2025-07-14,49.99,card,paid
PAY00202,INV00202,CUST0016,2025-08-16,49.99,paypal,paid
PAY00203,INV00203,CUST0016,2025-09-14,49.99,paypal,paid
PAY00204,INV00204,CUST0016,2025-10-14,49.99,card,paid
PAY00205,INV00205,CUST0016,2025-11-12,49.99,card,paid
PAY00206,INV00206,CUST0016,2025-12-14,49.99,paypal,paid
PAY00207,INV00207,CUST0017,2024-01-13,49.99,paypal,paid
PAY00208,INV00208,CUST0017,2024-02-16,49.99,bank_transfer,paid
PAY00209,INV00209,CUST0017,2024-03-19,0.0,card,failed
PAY00210,INV00210,CUST0017,2024-04-14,0.0,bank_transfer,failed
PAY00211,INV00211,CUST0017,2024-05-15,49.99,card,paid
PAY00212,INV00212,CUST0017,2024-06-15,49.99,paypal,paid
PAY00213,INV00213,CUST0017,2024-07-17,49.99,card,paid
PAY00214,INV00214,CUST0017,2024-08-16,49.99,bank_transfer,paid
PAY00215,INV00215,CUST0017,2024-09-15,49.99,card,paid
PAY00216,INV00216,CUST0017,2024-10-17,49.99,card,paid
PAY00217,INV00217,CUST0017,2024-11-13,49.99,card,paid
PAY00218,INV00218,CUST0017,2024-12-15,0.0,bank_transfer,failed
PAY00219,INV00219,CUST0017,2025-01-17,49.99,card,paid
PAY00220,INV00220,CUST0017,2025-02-16,49.99,paypal,paid
PAY00221,INV00221,CUST0017,2025-03-15,49.99,bank_transfer,paid
PAY00222,INV00222,CUST0017,2025-04-18,0.0,card,failed
PAY00223,INV00223,CUST0017,2025-05-12,49.99,bank_transfer,paid
PAY00224,INV00224,CUST0017,2025-06-13,49.99,bank_transfer,paid
PAY00225,INV00225,CUST0017,2025-07-14,49.99,card,paid
PAY00226,INV00226,CUST0017,2025-08-13,49.99,card,paid
PAY00227,INV00227,CUST0017,2025-09-13,49.99,card,paid
PAY00228,INV00228,CUST0017,2025-10-15,49.99,bank_transfer,paid
PAY00229,INV00229,CUST0017,2025-11-16,49.99,card,paid
PAY00230,INV00230,CUST0017,2025-12-15,49.99,paypal,paid
PAY00231,INV00231,CUST0018,2024-06-25,0.0,paypal,failed
PAY00232,INV00232,CUST0018,2024-07-21,89.99,card,paid
PAY00233,INV00233,CUST0018,2024-08-19,89.99,card,paid
PAY00234,INV00234,CUST0018,2024-09-21,89.99,bank_transfer,paid
PAY00235,INV00235,CUST0018,2024-10-25,0.0,paypal,failed
PAY00236,INV00236,CUST0018,2024-11-23,89.99,bank_transfer,paid
PAY00237,INV00237,CUST0018,2024-12-24,0.0,bank_transfer,failed
PAY00238,INV00238,CUST0018,2025-01-21,89.99,card,paid
PAY00239,INV00239,CUST0018,2025-02-24,89.99,card,paid
PAY00240,INV00240,CUST0018,2025-03-24,89.99,bank_transfer,paid
PAY00241,INV00241,CUST0018,2025-04-19,89.99,bank_transfer,paid
PAY00242,INV00242,CUST0018,2025-05-22,89.99,card,paid
PAY00243,INV00243,CUST0018,2025-06-19,89.99,paypal,paid
PAY00244,INV00244,CUST0018,2025-07-20,89.99,card,paid
PAY00245,INV00245,CUST0018,2025-08-21,89.99,bank_transfer,paid
PAY00246,INV00246,CUST0018,2025-09-20,89.99,paypal,paid
PAY00247,INV00247,CUST0018,2025-10-26,0.0,paypal,failed
PAY00248,INV00248,CUST0018,2025-11-21,89.99,card,paid
PAY00249,INV00249,CUST0018,2025-12-20,89.99,bank_transfer,paid
PAY00250,INV00250,CUST0019,2025-01-22,19.99,paypal,paid
PAY00251,INV00251,CUST0019,2025-02-19,19.99,card,paid
PAY00252,INV00252,CUST0019,2025-03-21,19.99,bank_transfer,paid
PAY00253,INV00253,CUST0019,2025-04-22,19.99,card,paid
PAY00254,INV00254,CUST0019,2025-05-22,19.99,paypal,paid
PAY00255,INV00255,CUST0019,2025-06-17,19.99,card,paid
PAY00256,INV00256,CUST0019,2025-07-17,19.99,card,paid
PAY00257,INV00257,CUST0019,2025-08-20,19.99,paypal,paid
PAY00258,INV00258,CUST0020,2024-06-17,0.0,bank_transfer,failed
PAY00259,INV00259,CUST0020,2024-07-19,49.99,paypal,paid
PAY00260,INV00260,CUST0020,2024-08-16,49.99,bank_transfer,paid
PAY00261,INV00261,CUST0020,2024-09-21,49.99,paypal,paid
PAY00262,INV00262,CUST0020,2024-10-16,49.99,paypal,paid
PAY00263,INV00263,CUST0020,2024-11-21,49.99,bank_transfer,paid
PAY00264,INV00264,CUST0020,2024-12-18,49.99,card,paid
PAY00265,INV00265,CUST0020,2025-01-17,49.99,card,paid
PAY00266,INV00266,CUST0020,2025-02-20,49.99,card,paid
PAY00267,INV00267,CUST0020,2025-03-17,49.99,bank_transfer,paid
PAY00268,INV00268,CUST0020,2025-04-16,49.99,bank_transfer,paid
PAY00269,INV00269,CUST0020,2025-05-18,49.99,card,paid
PAY00270,INV00270,CUST0020,2025-06-18,49.99,card,paid
PAY00271,INV00271,CUST0020,2025-07-16,49.99,bank_transfer,paid
PAY00272,INV00272,CUST0020,2025-08-18,49.99,bank_transfer,paid
PAY00273,INV00273,CUST0020,2025-09-17,49.99,bank_transfer,paid
PAY00274,INV00274,CUST0020,2025-10-16,49.99,card,paid
PAY00275,INV00275,CUST0020,2025-11-19,49.99,bank_transfer,paid
PAY00276,INV00276,CUST0020,2025-12-19,49.99,card,paid
PAY00277,INV00277,CUST0021,2024-06-13,19.99,bank_transfer,paid
PAY00278,INV00278,CUST0021,2024-07-14,19.99,paypal,paid
PAY00279,INV00279,CUST0021,2024-08-15,19.99,bank_transfer,paid
PAY00280,INV00280,CUST0021,2024-09-11,19.99,paypal,paid
PAY00281,INV00281,CUST0021,2024-10-12,19.99,paypal,paid
PAY00282,INV00282,CUST0021,2024-11-12,19.99,paypal,paid
PAY00283,INV00283,CUST0021,2024-12-11,19.99,bank_transfer,paid
PAY00284,INV00284,CUST0021,2025-01-10,19.99,card,paid
PAY00285,INV00285,CUST0021,2025-02-12,19.99,card,paid
PAY00286,INV00286,CUST0021,2025-03-14,19.99,bank_transfer,paid
PAY00287,INV00287,CUST0021,2025-04-12,19.99,bank_transfer,paid
PAY00288,INV00288,CUST0021,2025-05-15,19.99,card,paid
PAY00289,INV00289,CUST0021,2025-06-12,19.99,card,paid
PAY00290,INV00290,CUST0021,2025-07-15,19.99,paypal,paid
PAY00291,INV00291,CUST0021,2025-08-14,19.99,paypal,paid
PAY00292,INV00292,CUST0021,2025-09-11,19.99,paypal,paid
PAY00293,INV00293,CUST0021,2025-10-17,0.0,bank_transfer,failed
PAY00294,INV00294,CUST0021,2025-11-15,19.99,bank_transfer,paid
PAY00295,INV00295,CUST0021,2025-12-15,19.99,paypal,paid
PAY00296,INV00296,CUST0022,2024-07-09,49.99,card,paid
PAY00297,INV00297,CUST0022,2024-08-06,49.99,paypal,paid
PAY00298,INV00298,CUST0022,2024-09-09,49.99,bank_transfer,paid
PAY00299,INV00299,CUST0023,2024-06-18,49.99,paypal,paid
PAY00300,INV00300,CUST0023,2024-07-18,49.99,card,paid
PAY00301,INV00301,CUST0023,2024-08-19,49.99,bank_transfer,paid
PAY00302,INV00302,CUST0023,2024-09-16,49.99,card,paid
PAY00303,INV00303,CUST0023,2024-10-15,0.0,card,failed
PAY00304,INV00304,CUST0023,2024-11-15,49.99,card,paid
PAY00305,INV00305,CUST0023,2024-12-14,49.99,card,paid
PAY00306,INV00306,CUST0023,2025-01-15,49.99,paypal,paid
PAY00307,INV00307,CUST0023,2025-02-18,49.99,bank_transfer,paid
PAY00308,INV00308,CUST0023,2025-03-19,49.99,card,paid
PAY00309,INV00309,CUST0023,2025-04-14,49.99,paypal,paid
PAY00310,INV00310,CUST0023,2025-05-19,49.99,bank_transfer,paid
PAY00311,INV00311,CUST0023,2025-06-14,49.99,paypal,paid
PAY00312,INV00312,CUST0023,2025-07-18,0.0,bank_transfer,failed
PAY00313,INV00313,CUST0023,2025-08-14,49.99,paypal,paid
PAY00314,INV00314,CUST0023,2025-09-18,49.99,paypal,paid
PAY00315,INV00315,CUST0023,2025-10-16,49.99,bank_transfer,paid
PAY00316,INV00316,CUST0023,2025-11-15,49.99,card,paid
PAY00317,INV00317,CUST0023,2025-12-18,49.99,card,paid
PAY00318,INV00318,CUST0024,2024-06-08,19.99,card,paid
PAY00319,INV00319,CUST0024,2024-07-06,19.99,paypal,paid
PAY00320,INV00320,CUST0024,2024-08-06,19.99,bank_transfer,paid
PAY00321,INV00321,CUST0024,2024-09-08,19.99,bank_transfer,paid
PAY00322,INV00322,CUST0024,2024-10-06,0.0,card,failed
PAY00323,INV00323,CUST0025,2025-05-07,49.99,paypal,paid
PAY00324,INV00324,CUST0025,2025-06-04,49.99,bank_transfer,paid
PAY00325,INV00325,CUST0025,2025-07-08,49.99,bank_transfer,paid
PAY00326,INV00326,CUST0025,2025-08-04,49.99,paypal,paid
PAY00327,INV00327,CUST0025,2025-09-05,49.99,paypal,paid
PAY00328,INV00328,CUST0025,2025-10-04,49.99,paypal,paid
PAY00329,INV00329,CUST0025,2025-11-06,49.99,bank_transfer,paid
PAY00330,INV00330,CUST0025,2025-12-04,49.99,card,paid
PAY00331,INV00331,CUST0026,2025-06-28,19.99,bank_transfer,paid
PAY00332,INV00332,CUST0026,2025-07-27,19.99,bank_transfer,paid
PAY00333,INV00333,CUST0026,2025-08-28,19.99,bank_transfer,paid
PAY00334,INV00334,CUST0026,2025-09-27,19.99,bank_transfer,paid
PAY00335,INV00335,CUST0026,2025-10-28,19.99,bank_transfer,paid
PAY00336,INV00336,CUST0026,2025-11-28,19.99,card,paid
PAY00337,INV00337,CUST0026,2025-12-25,19.99,card,paid
PAY00338,INV00338,CUST0027,2025-03-16,19.99,card,paid
PAY00339,INV00339,CUST0027,2025-04-13,19.99,paypal,paid
PAY00340,INV00340,CUST0027,2025-05-17,19.99,bank_transfer,paid
PAY00341,INV00341,CUST0027,2025-06-15,19.99,bank_transfer,paid
PAY00342,INV00342,CUST0027,2025-07-14,19.99,card,paid
PAY00343,INV00343,CUST0027,2025-08-14,19.99,bank_transfer,paid
PAY00344,INV00344,CUST0028,2024-09-10,19.99,card,paid
PAY00345,INV00345,CUST0028,2024-10-11,0.0,paypal,failed
PAY00346,INV00346,CUST0028,2024-11-10,19.99,bank_transfer,paid
PAY00347,INV00347,CUST0028,2024-12-14,0.0,card,failed
PAY00348,INV00348,CUST0028,2025-01-08,19.99,paypal,paid
PAY00349,INV00349,CUST0028,2025-02-11,19.99,card,paid
PAY00350,INV00350,CUST0029,2025-04-09,49.99,paypal,paid
PAY00351,INV00351,CUST0029,2025-05-09,49.99,bank_transfer,paid
PAY00352,INV00352,CUST0029,2025-06-06,49.99,paypal,paid
PAY00353,INV00353,CUST0029,2025-07-06,49.99,bank_transfer,paid
PAY00354,INV00354,CUST0029,2025-08-07,49.99,card,paid
PAY00355,INV00355,CUST0029,2025-09-11,49.99,card,paid
PAY00356,INV00356,CUST0029,2025-10-10,49.99,card,paid
PAY00357,INV00357,CUST0029,2025-11-07,49.99,card,paid
PAY00358,INV00358,CUST0029,2025-12-10,49.99,paypal,paid
PAY00359,INV00359,CUST0030,2024-11-14,19.99,paypal,paid
PAY00360,INV00360,CUST0030,2024-12-18,19.99,bank_transfer,paid
PAY00361,INV00361,CUST0030,2025-01-17,19.99,card,paid
PAY00362,INV00362,CUST0030,2025-02-17,19.99,card,paid
PAY00363,INV00363,CUST0030,2025-03-16,19.99,card,paid
PAY00364,INV00364,CUST0030,2025-04-18,19.99,bank_transfer,paid
PAY00365,INV00365,CUST0030,2025-05-17,0.0,bank_transfer,failed
PAY00366,INV00366,CUST0030,2025-06-14,19.99,paypal,paid
PAY00367,INV00367,CUST0030,2025-07-14,19.99,bank_transfer,paid
PAY00368,INV00368,CUST0030,2025-08-14,19.99,paypal,paid
PAY00369,INV00369,CUST0030,2025-09-15,19.99,bank_transfer,paid
PAY00370,INV00370,CUST0030,2025-10-19,19.99,card,paid
PAY00371,INV00371,CUST0030,2025-11-17,19.99,card,paid
PAY00372,INV00372,CUST0030,2025-12-15,19.99,card,paid
PAY00373,INV00373,CUST0031,2025-02-21,19.99,bank_transfer,paid
PAY00374,INV00374,CUST0031,2025-03-23,19.99,paypal,paid
PAY00375,INV00375,CUST0031,2025-04-24,19.99,paypal,paid
PAY00376,INV00376,CUST0031,2025-05-24,19.99,paypal,paid
PAY00377,INV00377,CUST0031,2025-06-21,19.99,bank_transfer,paid
PAY00378,INV00378,CUST0031,2025-07-22,19.99,bank_transfer,paid
PAY00379,INV00379,CUST0031,2025-08-23,19.99,bank_transfer,paid
PAY00380,INV00380,CUST0031,2025-09-26,19.99,paypal,paid
PAY00381,INV00381,CUST0032,2025-04-13,49.99,paypal,paid
PAY00382,INV00382,CUST0032,2025-05-13,49.99,card,paid
PAY00383,INV00383,CUST0032,2025-06-12,49.99,bank_transfer,paid
PAY00384,INV00384,CUST0033,2024-03-20,19.99,paypal,paid
PAY00385,INV00385,CUST0033,2024-04-19,19.99,bank_transfer,paid
PAY00386,INV00386,CUST0033,2024-05-20,19.99,card,paid
PAY00387,INV00387,CUST0033,2024-06-19,19.99,paypal,paid
PAY00388,INV00388,CUST0033,2024-07-18,19.99,paypal,paid
PAY00389,INV00389,CUST0034,2024-10-23,19.99,card,paid
PAY00390,INV00390,CUST0034,2024-11-23,0.0,bank_transfer,failed
PAY00391,INV00391,CUST0034,2024-12-20,19.99,bank_transfer,paid
PAY00392,INV00392,CUST0034,2025-01-21,19.99,bank_transfer,paid
PAY00393,INV00393,CUST0034,2025-02-21,19.99,paypal,paid
PAY00394,INV00394,CUST0034,2025-03-21,19.99,card,paid
